Price,Location,Size,Bedrooms,Bathrooms,Wardrobes,Cabinets,Balcony,Parking,Quarters
70 000 000 Rwf,50m kagarama,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
250 000 000 Rwf,250M GACURIRO,20mx30m,6.0,5.0,,,,,
8 500 000 Rwf,kigali ,/,3.0,1.0,,,,Yes,
49 000 000 Rwf,49M kanombe,/,4.0,3.0,,Yes,,,
55 000 000 Rwf,55M kimironko,/,4.0,3.0,,Yes,,,
55 000 000 Rwf,Kigali kanombe,/,4.0,3.0,,,,Yes,Yes
52 000 000 Rwf,Kanombe house for sale@52 millions,25/20m,4.0,3.0,,,,Yes,Yes
130 000 000 Rwf,"kibagabaga, @130.000.000 Rwf",30/30m,4.0,4.0,,,,Yes,Yes
90 000 000 Rwf,"Kigali, Kabeza",,5.0,3.0,Yes,,Yes,Yes,
6 000 000 Rwf,kigali,20/16C,3.0,,,,,,
25 000 000 Rwf,Nyamata,30/30,4.0,3.0,,,,,
120 000 000 Rwf,"kibagabaga, @120.000.000 Rwf",25/30m,4.0,4.0,,,,Yes,Yes
35 000 000 Rwf,35M KIMIRONKO,20mx30m,4.0,3.0,,,,,
110 000 000 Rwf,110M KIBAGABAGA,/,4.0,3.0,,Yes,,,
63 000 000 Rwf,Kibagabaga 63,30/25V,5.0,3.0,,,,Yes,Yes
65 000 000 Rwf,"www.gobeland.com,kimironko @65 millions",24/20m,4.0,3.0,,,,Yes,Yes
55 000 000 Rwf,Kigali gisozi,750Sqm,3.0,2.0,,,Yes,,Yes
140 000 000 Rwf,"Kigali, Kibagabaga",/,4.0,3.0,,Yes,,,
110 000 000 Rwf,kigali gacuriro,30/25 ,4.0,4.0,,,,Yes,Yes
75 000 000 Rwf,"kicukiro, house for sale @75.000.000 Rwf",25/30m,4.0,3.0,,,,Yes,Yes
38 000 000 Rwf,38M KANOMBE,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
45 000 000 Rwf,45M GIKONDO,/,4.0,3.0,,,,Yes,
450 000 000 Rwf,Nyarutarama,30x35 ,6.0,5.0,Yes,,,Yes,Yes
80 000 000 Rwf,80M Rusororo,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
200 000 000 Rwf,kicukiro house for sale @200 millions,35/30P,6.0,5.0,,,,Yes,Yes
55 000 000 Rwf,55M KAGARAMA,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
25 000 000 Rwf,Kimironko,300 sq,4.0,2.0,,,,,
30 000 000 Rwf,30M GISOZI,,3.0,3.0,Yes,Yes,Yes,Yes,Yes
65 000 000 Rwf,"www.gobeland.com,kimironko @65 millions",24/20m,4.0,3.0,,,,Yes,Yes
50 000 000 Rwf,Kanombe house for sale@50 millions,25/20â,4.0,3.0,,,,Yes,Yes
85 000 000 Rwf,Kagarama 85M,20mx30m,4.0,3.0,Yes,Yes,Yes,Yes,
45 000 000 Rwf,"KIGALI,MASAKA",2383 sq,4.0,3.0,,Yes,,Yes,
65 000 000 Rwf,65m kagarama,20mx30m,4.0,1.0,,,,,Yes
35 000 000 Rwf,kigali kimironko,20/20m,4.0,2.0,,,,Yes,Yes
34 000 000 Rwf,NYAMATA,,5.0,3.0,,,Yes,,
120 000 000 Rwf,"Kibagabaga, Kigali",,5.0,4.0,Yes,Yes,Yes,Yes,Yes
140 000 000 Rwf,www.gobelandhouse.com Gacuriro@140.000.000RWF,30/30m,6.0,4.0,,,,Yes,Yes
53 000 000 Rwf,www.gobeland.com/ kanombe@53 millions,25/30m,4.0,3.0,,,,Yes,Yes
50 000 000 Rwf,"www.Gobeland.com, kanombe@50 millions",25/20m,4.0,3.0,,,,Yes,Yes
80 000 000 Rwf,kigali kimironko,/,4.0,3.0,,,,Yes,Yes
55 000 000 Rwf,KANOMBE 55millions,20mx30m,4.0,3.0,,,,,Yes
70 000 000 Rwf,kimironko @70.000.000 Rwf,25/25m,4.0,3.0,,,,Yes,Yes
48 000 000 Rwf,48M ZINDIRO,20mx15m,4.0,3.0,Yes,Yes,Yes,Yes,
45 000 000 Rwf,Kigali 45m,600sqm,4.0,3.0,,,,,
55 000 000 Rwf,kicukiro @4bedrooms @55.000.000 Rwf,20/30m,4.0,3.0,,,,Yes,Yes
42 000 000 Rwf,42M GISOZI,25mx20m,4.0,3.0,Yes,Yes,Yes,Yes,Yes
42 000 000 Rwf,42M REMERA,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
75 000 000 Rwf,"Kicukiro, Kigali",,4.0,3.0,,,Yes,Yes,
49 000 000 Rwf,49M kanombe,/,4.0,3.0,,Yes,,,
60 000 000 Rwf,"Kigali, Kanombe",/,4.0,3.0,,Yes,,,
60 000 000 Rwf,"KIGALI,KANOMBE",/,4.0,3.0,,,,,
30 000 000 Rwf,30M KANOMBE,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
48 000 000 Rwf,Gahanga48,20m l,5.0,4.0,,,,,
40 000 000 Rwf,Kabeza house for sale@40 millions,20/25P,4.0,3.0,Yes,,,Yes,Yes
55 000 000 Rwf,55m kimironko,30mx25m,3.0,2.0,Yes,Yes,Yes,Yes,
45 000 000 Rwf,45M KANOMBE,30mx20m,4.0,3.0,Yes,Yes,Yes,Yes,
218 000 000 Rwf,Gasabo-Ndera,999sqm,,,,,,,Yes
50 000 000 Rwf,www.gobeland.com/ Kanombe@50 millions,25/30m,4.0,3.0,,,,Yes,Yes
60 000 000 Rwf,kigali-kacyiru,20mx20m,4.0,2.0,,,,,
80 000 000 Rwf,Gacuriro house for sale@80 millions,20/25P,4.0,3.0,Yes,,,Yes,Yes
180 000 000 Rwf,Kibagabaga house for sale @180 millions,25/30m,,1.0,Yes,,,Yes,Yes
37 000 000 Rwf,"Kigali, Kabeza",,4.0,3.0,Yes,Yes,Yes,Yes,Yes
150 000 000 Rwf,www.gobeland.com/ Kibagabaga@150 millions.,35/30m,6.0,4.0,,,,Yes,Yes
45 000 000 Rwf,45M kigali ,30mx30m,4.0,2.0,,,,,Yes
235 000 000 Rwf,KAGUGU- GISOZI ON THE PAVED ROAD,1300 sq,6.0,6.0,,,,Yes,Yes
160 000 000 Rwf,"www.gobeland.com,kicukiro @160 millions",25/30m,,1.0,,,,Yes,Yes
85 000 000 Rwf,"kibagabaga, @85.000.000 Rwf",25/30m,5.0,3.0,,,,Yes,Yes
200 000 000 Rwf,Gacuriro,/,7.0,1.0,Yes,,Yes,Yes,Yes
830 000 000 Rwf,kigali kicukiro,40/20m,,1.0,,,,,Yes
55 000 000 Rwf,55M KIMIRONKO ,25mx20m,4.0,3.0,,,,,
40 000 000 Rwf,Kicukiro house for sale@40 millions,30/35m,4.0,2.0,,,,Yes,Yes
65 000 000 Rwf,kigali kicukiro,25/30m,4.0,3.0,,,,Yes,Yes
120 000 000 Rwf,kigali kibagabaga,25/30m,5.0,3.0,,,,Yes,Yes
50 000 000 Rwf,50M Kibagabaga,25mx20m,4.0,2.0,,,,,Yes
55 000 000 Rwf,kigali kanombe,25/30m,4.0,3.0,,,,Yes,Yes
55 000 000 Rwf,Kigali 55M,/,3.0,3.0,,Yes,,,
70 000 000 Rwf,70M GACURIRO,25m/30m,4.0,3.0,,,,Yes,Yes
55 000 000 Rwf,"www.gobelandhouse.com,kanombe@55 millions",25/30â,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,kigali--kibagabaga,15mx20m,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,Kimironko BIBARE ,/,,,,,,,
60 000 000 Rwf,60M KIMIRONKO,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
30 000 000 Rwf,Ruyenzi,40/30p,4.0,3.0,,,,,
380 000 000 Rwf,Kimihurura,1800 sq,10.0,5.0,,,,Yes,Yes
75 000 000 Rwf,kibagabaga house for sale @ 75 millions,25/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,Kanombe house for sale@65 millions,20/25m,,1.0,,,,Yes,Yes
20 000 000 Rwf,20M GASANZE,/,5.0,2.0,,Yes,,,
60 000 000 Rwf,kigali kanombe,25/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,"Kicukiro, Kigali",,3.0,2.0,,,Yes,Yes,
$ 145 000,"Kigali, Kibagabaga",/,3.0,3.0,,Yes,,,
95 000 000 Rwf,kigali,30/20f,5.0,3.0,,Yes,,Yes,Yes
350 000 000 Rwf,kiyovu,3338sqm,5.0,2.0,,Yes,,Yes,
27 000 000 Rwf,27m nyamirambo,25mx30m,3.0,1.0,Yes,Yes,Yes,Yes,
65 000 000 Rwf,"Kigali, Kanombe",786 sq,,1.0,,Yes,,,
80 000 000 Rwf,kigali gisozi,/,5.0,3.0,,,,Yes,Yes
50 000 000 Rwf,50M kagarama,30mx20m,4.0,3.0,,,,Yes,
55 000 000 Rwf,kigali--kimironko,25mx30m,4.0,2.0,,,,Yes,Yes
47 000 000 Rwf,Gisozi:kivuproperty.com,30mx25m,4.0,2.0,,,,,
100 000 000 Rwf,"kibagabaga, @100.000.000 Rwf",25/30m,4.0,3.0,,,,Yes,Yes
350 000 000 Rwf,Nyarutarama,30/25P,7.0,6.0,Yes,,,Yes,Yes
120 000 000 Rwf,Kimironko house for sale@120 millions,25/30m,,1.0,,,,Yes,Yes
150 000 000 Rwf,Remera-Gishushu,1310 sqm,4.0,2.0,,Yes,,Yes,
30 000 000 Rwf,30m kimironko,20mx30m,4.0,3.0,,,,,
65 000 000 Rwf,Kimironko house for sale@65 millions,30/25m,,1.0,,,,Yes,Yes
70 000 000 Rwf,www.gobeland.com/kabeza@70 millions,25/30m,4.0,3.0,,,,Yes,Yes
140 000 000 Rwf,Gacuriro 140m,30/30p,4.0,3.0,,Yes,,Yes,Yes
33 000 000 Rwf,33m kimironko,,4.0,2.0,Yes,Yes,Yes,Yes,Yes
95 000 000 Rwf,kigali,30/20f,5.0,3.0,,Yes,,Yes,Yes
120 000 000 Rwf,kigali 120M,30/20p,5.0,4.0,,Yes,,Yes,Yes
5 000 000 Rwf,Kigali-kinyinya,15m/20m,,,,,,,
85 000 000 Rwf,Kigalidealer.com,600Sqm,4.0,3.0,,,Yes,,Yes
350 000 000 Rwf,kiyovu,3338sqm,5.0,2.0,,Yes,,Yes,
33 000 000 Rwf,33m kanombe,/,4.0,3.0,,Yes,,,
300 000 000 Rwf,www.Gobelandhouse.com is selling a house at Gacuriro@300millions,30/30m,5.0,5.0,,,,Yes,Yes
70 000 000 Rwf,"kicukiro, house for sale @70.000.000 Rwf",25/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,kigali kimironko,25/30m,4.0,3.0,,,,Yes,Yes
55 000 000 Rwf,kigali@festussibo28@gmail.com,20m/20m,4.0,2.0,,,,Yes,
28 000 000 Rwf,28m kanombe,/,4.0,3.0,,,,Yes,
55 000 000 Rwf,55m kimironko,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
150 000 000 Rwf,"Kibagabaga house for sale, 150 millions",20/25P,5.0,4.0,Yes,,,Yes,Yes
40 000 000 Rwf,Kanombe 40M,500sqm,4.0,2.0,,,,,
75 000 000 Rwf,kicukiro house for sale@75 millions,/,4.0,3.0,,,,,
50 000 000 Rwf,"kicukiro, house for sale @50.000.000 Rwf",20/30m,4.0,3.0,,,,Yes,Yes
100 000 000 Rwf,www.gobelandhouse.com is selling a house at Kibagabaga@100.000.000RWF,25/25m,,1.0,,,,Yes,Yes
35 000 000 Rwf,35M KIMIRONKO,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
55 000 000 Rwf,kigali kanombe,25/25m,4.0,3.0,,,,Yes,Yes
200 000 000 Rwf,200M Gikondo,30mx40m,8.0,6.0,,,,,
50 000 000 Rwf,50m kagarama,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
45 000 000 Rwf,kanombe @45.000.000 Rwf,25/30m,4.0,3.0,,,,Yes,Yes
36 000 000 Rwf,36M GIKONDO,/,4.0,3.0,,Yes,,,
150 000 000 Rwf,kigali,/,4.0,4.0,,,,Yes,Yes
35 000 000 Rwf,Kigali 35M,30/20p,4.0,3.0,,Yes,,Yes,Yes
65 000 000 Rwf,kigali kanombe,/,4.0,3.0,,,,Yes,Yes
50 000 000 Rwf,"kicukiro, house for sale @50.000.000 Rwf",25/30m,4.0,3.0,,,,Yes,Yes
140 000 000 Rwf,"KIGALI,NYARUTARAMA",/,5.0,4.0,,,,Yes,Yes
30 000 000 Rwf,30M GIKONDO,,3.0,2.0,Yes,Yes,Yes,Yes,Yes
15 000 000 Rwf,kigali,20mx30m,,,,,,,
100 000 000 Rwf,kigali kicukiro,30/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,kigali kicukiro,25/30m,4.0,3.0,,,,Yes,Yes
70 000 000 Rwf,Kigali 70m,30/20p,4.0,3.0,,Yes,,Yes,Yes
35 000 000 Rwf,35m kabeza,20MX30M,4.0,3.0,,,,Yes,Yes
1 500 000 000 Rwf,www.gobelandhouse.com @80 millions,25/30m,,1.0,,,,Yes,Yes
19 000 000 Rwf,19M GISOZI,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
500 000 000 Rwf,NYARUTARAMA,/,11.0,1.0,,,,Yes,
55 000 000 Rwf,Kabeza house for sale@55 millions,30/20P,4.0,3.0,Yes,,,Yes,Yes
160 000 000 Rwf,www.gobelandhouse.com is selling a house at kicukiro@160.000.000RWF,35/30m,5.0,4.0,,,,Yes,Yes
50 000 000 Rwf,Kabuga:kivuproperty.com,25mx30m,4.0,3.0,,,,,
130 000 000 Rwf,kigali@festus,20/25m,5.0,4.0,,,,Yes,Yes
55 000 000 Rwf,kanombe:kivuproperty.com,20mx30m,4.0,3.0,,,,,
35 000 000 Rwf,35M KIBAGABAGA,/,4.0,3.0,,Yes,,,
35 000 000 Rwf,35M KIMIHURA,/,4.0,3.0,,Yes,,,
55 000 000 Rwf,kigali kimironko,25/25m,5.0,3.0,,,,Yes,Yes
60 000 000 Rwf,www.gobeland.com kanombe @60.000.000 Rwf,25/35m,4.0,1.0,,,,Yes,Yes
8 500 000 Rwf,"Bumbogo 8,5M",20/30 ,,,,,,,
55 000 000 Rwf,Kigali kanombe,/,4.0,3.0,,,,Yes,Yes
120 000 000 Rwf,kibagabaga@festus,25mx30m,4.0,3.0,,,,,Yes
65 000 000 Rwf,65m kimironko,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
450 000 000 Rwf,Nyarutarama,30x35 ,6.0,5.0,Yes,,,Yes,Yes
55 000 000 Rwf,www.gobeland.com/ kanombe@55 millions,28/30m,4.0,3.0,,,,Yes,Yes
25 000 000 Rwf,kigali kagugu,600Sqm,4.0,2.0,,,,,
19 000 000 Rwf,19M kabuga,/,4.0,3.0,,Yes,,,
82 000 000 Rwf,Kibagabaga 82M,944sqm,4.0,3.0,,,,,
53 000 000 Rwf,Kabeza house for sale@53 millions,30/25m,,1.0,,,,Yes,Yes
50 000 000 Rwf,"www.gobeland.com,kimironko@50 millions",25/30m,,1.0,,,,Yes,Yes
100 000 000 Rwf,kigali-kibagabaga-festus,20m/25m,4.0,3.0,,,,Yes,Yes
50 000 000 Rwf,50M Kimironko,20mx30m,4.0,3.0,,,,Yes,Yes
55 000 000 Rwf,55m kimironko,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
60 000 000 Rwf,60M NIBOYI,30mx20m,4.0,3.0,Yes,Yes,Yes,Yes,Yes
200 000 000 Rwf,200M Gikondo,30mx40m,8.0,6.0,,,,,
120 000 000 Rwf,120M GISOZI,/,5.0,4.0,,Yes,,,
55 000 000 Rwf,Gisozi @55.000.000 Rwf,30/30m,4.0,3.0,,,,Yes,Yes
50 000 000 Rwf,kanombe @50.000.000 Rwf,20/30m,4.0,3.0,,,,Yes,Yes
50 000 000 Rwf,"Kigali, Kabeza",,4.0,3.0,Yes,Yes,Yes,Yes,Yes
90 000 000 Rwf,kigali remera,25;25m,4.0,3.0,,,,Yes,Yes
75 000 000 Rwf,kigali,35mx30m,4.0,3.0,,,,Yes,Yes
150 000 000 Rwf,Gacuriro house for sale@150 millions,35/30m,4.0,3.0,,,,Yes,Yes
45 000 000 Rwf,KANOMBE,520sqm,4.0,3.0,Yes,,,Yes,Yes
45 000 000 Rwf,"Kigali, kicukiro niboyi",/,4.0,2.0,,Yes,,Yes,Yes
30 000 000 Rwf,MASAKA,/,,,,,,,
65 000 000 Rwf,65M KIBAGABAGA,30mx20m,4.0,3.0,Yes,Yes,Yes,Yes,
55 000 000 Rwf,55M Gikondo,20mx30m,4.0,3.0,,,,,
130 000 000 Rwf,Kigali gacuriro,30/25 ,4.0,4.0,,,,Yes,Yes
80 000 000 Rwf,"KIGALI,KICUKIRO",/,4.0,3.0,,Yes,,,Yes
70 000 000 Rwf,70M Kibagabaga,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
45 000 000 Rwf,REBERO,/,,,,,,,
45 000 000 Rwf,45M GIKONDO,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
25 000 000 Rwf,25M GAHANGA,/,4.0,3.0,,Yes,,,
25 000 000 Rwf,kigali@festus,20mx30m,4.0,2.0,,,,Yes,
70 000 000 Rwf,75m kagarama,25m/30m,4.0,2.0,,,,Yes,Yes
45 000 000 Rwf,kanombe @45.000.000 Rwf,25/30m,4.0,3.0,,,,Yes,Yes
47 000 000 Rwf,47M kanombe,30/20m,4.0,3.0,,,,Yes,Yes
80 000 000 Rwf,Kagarama 80M,750sqm,4.0,3.0,,,,,
55 000 000 Rwf,Kigali 55M,30/20p,4.0,3.0,,Yes,,Yes,Yes
50 000 000 Rwf,kabeza 35m,25/30m,4.0,3.0,,,,Yes,Yes
80 000 000 Rwf,kigali gacuriro,600Sqm,4.0,3.0,,,Yes,,Yes
55 000 000 Rwf,55M GISOZI,20mx30m,4.0,3.0,,,,,
50 000 000 Rwf,Kimironko house for sale@50 millions,25/30m,4.0,3.0,,,,Yes,Yes
35 000 000 Rwf,35M GIKONDO,20mx30m,4.0,3.0,,,,,
75 000 000 Rwf,Gacuriro house for sale@ 75millions,/,4.0,3.0,,,,,
110 000 000 Rwf,110M KIBAGABA,20MX30M,4.0,3.0,,,,Yes,Yes
35 000 000 Rwf,Kabuga:kivuproperty.com,20mx30m,4.0,3.0,,,,,
130 000 000 Rwf,"Gacuriro, house for sale @130.000.000 RWF",30/30m,5.0,5.0,,,,Yes,Yes
95 000 000 Rwf,Gacuriro,/,4.0,3.0,,,,Yes,
60 000 000 Rwf,"Kigali, Kimironko",,4.0,3.0,Yes,Yes,Yes,Yes,Yes
55 000 000 Rwf,55M Kibagababa,25mx20m,4.0,2.0,,,,,Yes
130 000 000 Rwf,"KIGALI,KIBAGABAGA",/,5.0,4.0,,Yes,,Yes,
50 000 000 Rwf,"www.gobeland.com,kanombe @50 millions",25/20m,,1.0,,,,Yes,Yes
58 000 000 Rwf,KANOMBE,/,4.0,3.0,Yes,,,Yes,Yes
130 000 000 Rwf,"Gacuriro, house for sale @130.000.000 RWF",25/30L,4.0,3.0,,,,Yes,Yes
46 000 000 Rwf,kigali-kanombe@festus,600sqm,4.0,1.0,,,,,Yes
70 000 000 Rwf,www.gobeland.com/ kimironko@70 millions,25/30m,4.0,3.0,,,,Yes,Yes
75 000 000 Rwf,KIGALI CITY,,4.0,3.0,Yes,Yes,Yes,Yes,
85 000 000 Rwf,kigali-kicukiro,20mx30m,4.0,3.0,Yes,Yes,Yes,Yes,
60 000 000 Rwf,kigali 60M,30/20F,5.0,3.0,,,,Yes,Yes
110 000 000 Rwf,"kibagabaga, @110.000.000 Rwf",25/30m,4.0,4.0,,,,Yes,Yes
40 000 000 Rwf,kigali-kabeza-festus,20m/20m,4.0,2.0,,,,,
130 000 000 Rwf,"Kigali, Kibagabaga",,4.0,3.0,,Yes,Yes,Yes,Yes
25 000 000 Rwf,kigali@festus,20mx30m,4.0,2.0,,,,Yes,
152 000 000 Rwf,Kigali/Nyarutarama,/,,1.0,,,Yes,Yes,
65 000 000 Rwf,Kimironko house for sale@65 millions,20/25P,4.0,3.0,,,,Yes,Yes
27 000 000 Rwf,27m nyamirambo,20mx30m,4.0,3.0,,,,,
25 000 000 Rwf,25M GISOZI,,4.0,1.0,Yes,Yes,Yes,Yes,Yes
130 000 000 Rwf,Kigali-Kibagabaga house sale@130 millions: www.gobeland.com,25/35m,5.0,1.0,,,,Yes,Yes
120 000 000 Rwf,kibagabaga @120.000.000 Rwf,25/30m,4.0,4.0,,,,Yes,Yes
55 000 000 Rwf,kanombe @55.000.000 Rwf,25/30m,4.0,3.0,,,,Yes,Yes
12 000 000 Rwf,12M kacyiru,/,4.0,3.0,,Yes,,,
13 000 000 Rwf,kanombe 13M,20mx30m,3.0,0.0,,,,Yes,Yes
50 000 000 Rwf,50M kanombe,20mx30m,4.0,3.0,,,,,
22 000 000 Rwf,MASAKA,/,,,,,,,
52 000 000 Rwf,Karumuna:kivuproperty.com,/,4.0,3.0,,Yes,,Yes,
150 000 000 Rwf,150M kimironko,20MX30M,5.0,4.0,,,,Yes,Yes
120 000 000 Rwf,www.gobeland.com/ kibagabaga@ 120 millions,28/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,"Kigali, Kicukiro-Rebero",/,4.0,4.0,,Yes,,,
80 000 000 Rwf,80M kimironko,30mx20m,3.0,2.0,,,,,Yes
80 000 000 Rwf,Kimironko house for sale@80 millions,30/25P,4.0,3.0,Yes,,,Yes,Yes
